Category,State/UT/City,Bankruptcy or Indebtedness - Male,Bankruptcy or Indebtedness - Female,Bankruptcy or Indebtedness - Transgender,Bankruptcy or Indebtedness - Total,Marriage Related Issues (Total) - Male,Marriage Related Issues (Total) - Female,Marriage Related Issues (Total) - Transgender,Marriage Related Issues (Total) - Total,Marriage Related Issues (Non-Settlement of Marriage) - Male,Marriage Related Issues (Non-Settlement of Marriage) - Female,Marriage Related Issues (Non-Settlement of Marriage) - Transgender,Marriage Related Issues (Non-Settlement of Marriage) - Total,Marriage Related Issues (Dowry Related Issues) - Male,Marriage Related Issues (Dowry Related Issues) - Female,Marriage Related Issues (Dowry Related Issues) - Transgender,Marriage Related Issues (Dowry Related Issues) - Total,Marriage Related Issues (Extra Marital affairs) - Male,Marriage Related Issues (Extra Marital affairs) - Female,Marriage Related Issues (Extra Marital affairs) - Transgender,Marriage Related Issues (Extra Marital affairs) - Total,Marriage Related Issues (Divorce) - Male,Marriage Related Issues (Divorce) - Female,Marriage Related Issues (Divorce) - Transgender,Marriage Related Issues (Divorce) - Total,Marriage Related Issues (Others) - Male,Marriage Related Issues (Others) - Female,Marriage Related Issues (Others) - Transgender,Marriage Related Issues (Others) - Total,Failure in Examination - Male,Failure in Examination - Female,Failure in Examination - Transgender,Failure in Examination - Total,Impotency/Infertility - Male,Impotency/Infertility - Female,Impotency/Infertility - Transgender,Impotency/Infertility - Total,Family Problems - Male,Family Problems - Female,Family Problems - Transgender,Family Problems - Total,Illness (Total) - Male,Illness (Total) - Female,Illness (Total) - Transgender,Illness (Total) - Total,Illness (AIDS/STD) - Male,Illness (AIDS/STD) - Female,Illness (AIDS/STD) - Transgender,Illness (AIDS/STD) - Total,Illness (Cancer) - Male,Illness (Cancer) - Female,Illness (Cancer) - Transgender,Illness (Cancer) - Total,Illness (Paralysis) - Male,Illness (Paralysis) - Female,Illness (Paralysis) - Transgender,Illness (Paralysis) - Total,Illness (Insanity/Mental illness) - Male,Illness (Insanity/Mental illness) - Female,Illness (Insanity/Mental illness) - Transgender,Illness (Insanity/Mental illness) - Total,Illness (Other Prolonged Illness) - Male,Illness (Other Prolonged Illness) - Female,Illness (Other Prolonged Illness) - Transgender,Illness (Other Prolonged Illness) - Total,Death of Dear Person - Male,Death of Dear Person - Female,Death of Dear Person - Transgender,Death of Dear Person - Total,Drug Abuse/Alcoholic Addiction - Male,Drug Abuse/Alcoholic Addiction - Female,Drug Abuse/Alcoholic Addiction - Transgender,Drug Abuse/Alcoholic Addiction - Total,Fall in Social Reputation - Male,Fall in Social Reputation - Female,Fall in Social Reputation - Transgender,Fall in Social Reputation - Total,Ideological Causes/Hero Worshipping - Male,Ideological Causes/Hero Worshipping - Female,Ideological Causes/Hero Worshipping - Transgender,Ideological Causes/Hero Worshipping - Total,Love Affairs - Male,Love Affairs - Female,Love Affairs - Transgender,Love Affairs - Total,Poverty - Male,Poverty - Female,Poverty - Transgender,Poverty - Total,Unemployment - Male,Unemployment - Female,Unemployment - Transgender,Unemployment - Total,Property Dispute - Male,Property Dispute - Female,Property Dispute - Transgender,Property Dispute - Total,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Male,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Female,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Transgender,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Total,Illegitimate Pregnancy (Other thanExtra Marital Affairs) - Male,Illegitimate Pregnancy (Other thanExtra Marital Affairs) - Female,Illegitimate Pregnancy (Other thanExtra Marital Affairs) - Transgender,Illegitimate Pregnancy (Other thanExtra Marital Affairs) - Total,"Physical Abuse (Rape, etc.) - Male","Physical Abuse (Rape, etc.) - Female","Physical Abuse (Rape, etc.) - Transgender","Physical Abuse (Rape, etc.) - Total",Professional/Career Problem - Male,Professional/Career Problem - Female,Professional/Career Problem - Transgender,Professional/Career Problem - Total,Causes Not Known - Male,Causes Not Known - Female,Causes Not Known - Transgender,Causes Not Known - Total,Other Causes - Male,Other Causes - Female,Other Causes - Transgender,Other Causes - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
State,Karnataka,1203,74,0,1277,270,161,0,431,106,55,0,161,12,29,0,41,53,24,0,77,51,29,0,80,48,24,0,72,59,58,0,117,38,45,0,83,2382,1181,0,3563,2152,888,2,3042,6,3,0,9,87,44,0,131,152,25,0,177,1285,502,1,1788,622,314,1,937,95,58,0,153,1292,27,0,1319,99,23,0,122,7,3,0,10,253,124,0,377,239,19,0,258,358,44,0,402,105,6,0,111,26,16,0,42,0,8,0,8,0,0,0,0,322,72,0,394,337,68,1,406,690,251,0,941,9927,3126,3,13056
State,Kerala,164,19,0,183,115,49,1,165,38,10,0,48,1,18,1,20,30,7,0,37,28,4,0,32,18,10,0,28,30,23,0,53,13,9,0,22,3590,959,3,4552,1388,618,0,2006,0,1,0,1,201,63,0,264,81,24,0,105,454,248,0,702,652,282,0,934,130,71,0,201,899,3,0,902,156,27,0,183,6,0,0,6,188,107,1,296,4,0,0,4,110,12,0,122,85,14,0,99,12,1,0,13,0,0,0,0,4,5,0,9,158,29,0,187,217,48,1,266,218,62,0,280,7487,2056,6,9549
State,Madhya Pradesh,62,6,0,68,491,871,0,1362,212,119,0,331,16,505,0,521,128,93,0,221,28,34,0,62,107,120,0,227,81,76,0,157,23,37,0,60,2439,1252,0,3691,2082,1050,0,3132,2,0,0,2,33,15,0,48,70,32,0,102,1132,531,0,1663,845,472,0,1317,142,85,0,227,1553,81,0,1634,133,35,0,168,9,7,0,16,401,236,0,637,48,5,0,53,71,9,0,80,138,9,0,147,64,26,0,90,0,9,0,9,2,19,0,21,120,28,0,148,1436,530,0,1966,908,391,0,1299,10203,4762,0,14965
State,Maharashtra,1494,41,0,1535,479,294,0,773,325,116,0,441,10,68,0,78,75,57,0,132,32,17,0,49,37,36,0,73,133,129,0,262,15,24,0,39,5481,2212,0,7693,3083,979,2,4064,38,8,1,47,226,51,0,277,242,64,0,306,989,353,0,1342,1588,503,1,2092,178,95,0,273,2785,32,1,2818,69,7,0,76,70,23,0,93,425,201,0,626,427,42,0,469,760,36,0,796,128,21,0,149,39,50,0,89,0,8,0,8,0,2,0,2,578,99,0,677,651,197,0,848,694,223,0,917,17489,4715,3,22207
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,12,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,1,2,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,8,0,0,8,4,2,0,6,38,11,0,49
State,Meghalaya,0,0,0,0,15,7,0,22,10,4,0,14,0,0,0,0,2,3,0,5,3,0,0,3,0,0,0,0,1,1,0,2,0,0,0,0,11,7,0,18,25,6,0,31,0,0,0,0,0,0,0,0,1,0,0,1,24,6,0,30,0,0,0,0,0,1,0,1,32,0,0,32,8,1,0,9,0,0,0,0,5,8,0,13,10,3,0,13,9,1,0,10,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,1,4,2,0,6,45,14,0,59,3,3,0,6,172,54,0,226
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,9,19,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,23,0,0,0,0,0,0,0,0,42,1,0,43,0,0,0,0,0,0,0,0,2,0,0,2,4,2,0,6,7,0,0,7,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,90,9,0,99
State,Nagaland,2,0,0,2,4,1,0,5,0,0,0,0,0,0,0,0,3,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,10,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,3,1,0,4,2,0,0,2,3,2,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,1,0,0,1,37,6,0,43
State,Odisha,6,0,0,6,58,76,0,134,23,39,0,62,0,6,0,6,7,6,0,13,0,0,0,0,28,25,0,53,102,33,0,135,0,8,0,8,3257,776,0,4033,59,32,0,91,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,30,36,25,0,61,0,1,0,1,9,0,0,9,16,2,0,18,0,0,0,0,70,62,0,132,2,0,0,2,23,1,0,24,10,4,0,14,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,367,154,0,521,429,90,0,519,4412,1239,0,5651
State,Punjab,87,3,0,90,90,91,0,181,39,41,0,80,3,23,0,26,26,12,0,38,7,2,0,9,15,13,0,28,8,12,0,20,3,3,0,6,247,129,0,376,938,226,0,1164,4,0,0,4,12,3,0,15,2,3,0,5,882,213,0,1095,38,7,0,45,23,12,0,35,78,0,0,78,50,11,0,61,0,1,0,1,55,28,0,83,150,11,0,161,48,5,0,53,70,4,0,74,16,7,0,23,0,1,0,1,1,2,0,3,34,2,0,36,76,12,0,88,51,15,0,66,2025,575,0,2600
